date,product,category,demand,location,on_hand_inventory,lead_time_days,expiration_date,shelf_life_days,promo_flag,price
2/9/26,Greek Yogurt,Cultured Dairy,142,Indianapolis Cold Storage,1500,10,2/18/26,21,FALSE,1.69
2/9/26,Sour Cream,Cultured Cream,86,Indianapolis Cold Storage,1800,10,2/14/26,14,FALSE,2.49
2/9/26,Cottage Cheese,Fresh Cheese,104,Indianapolis Cold Storage,2000,9,2/15/26,12,FALSE,3.19
2/9/26,Cheddar Cheese,Aged Cheese,91,Indianapolis Cold Storage,500,4,3/29/26,60,FALSE,4.99
2/9/26,Heavy Cream,Dairy Cream,72,Indianapolis Cold Storage,90,5,3/1/26,24,FALSE,2.89
2/10/26,Whole Milk,Dairy Milk,230,Indianapolis Cold Storage,150,2,2/17/26,10,FALSE,3.79
2/10/26,Greek Yogurt,Cultured Dairy,145,Indianapolis Cold Storage,1500,10,2/19/26,21,FALSE,1.69
2/10/26,Sour Cream,Cultured Cream,89,Indianapolis Cold Storage,1800,10,2/15/26,14,FALSE,2.49
2/10/26,Cottage Cheese,Fresh Cheese,107,Indianapolis Cold Storage,2000,9,2/16/26,12,FALSE,3.19
2/10/26,Cheddar Cheese,Aged Cheese,95,Indianapolis Cold Storage,500,4,3/30/26,60,FALSE,4.99
2/10/26,Heavy Cream,Dairy Cream,74,Indianapolis Cold Storage,90,5,3/2/26,24,FALSE,2.89
2/11/26,Whole Milk,Dairy Milk,230,Indianapolis Cold Storage,150,2,2/18/26,10,FALSE,3.79
2/11/26,Greek Yogurt,Cultured Dairy,148,Indianapolis Cold Storage,1500,10,2/20/26,21,FALSE,1.69
2/11/26,Sour Cream,Cultured Cream,90,Indianapolis Cold Storage,1800,10,2/16/26,14,FALSE,2.49
2/11/26,Cottage Cheese,Fresh Cheese,110,Indianapolis Cold Storage,2000,9,2/17/26,12,FALSE,3.19
2/11/26,Cheddar Cheese,Aged Cheese,98,Indianapolis Cold Storage,500,4,3/31/26,60,FALSE,4.99
2/11/26,Heavy Cream,Dairy Cream,76,Indianapolis Cold Storage,90,5,3/3/26,24,FALSE,2.89
2/12/26,Whole Milk,Dairy Milk,240,Indianapolis Cold Storage,150,2,2/19/26,10,FALSE,3.79
2/12/26,Greek Yogurt,Cultured Dairy,149,Indianapolis Cold Storage,1500,10,2/21/26,21,FALSE,1.69
2/12/26,Sour Cream,Cultured Cream,91,Indianapolis Cold Storage,1800,10,2/17/26,14,FALSE,2.49
2/12/26,Cottage Cheese,Fresh Cheese,111,Indianapolis Cold Storage,2000,9,2/18/26,12,FALSE,3.19
2/12/26,Cheddar Cheese,Aged Cheese,100,Indianapolis Cold Storage,500,4,4/1/26,60,FALSE,4.99
2/12/26,Heavy Cream,Dairy Cream,77,Indianapolis Cold Storage,90,5,3/4/26,24,FALSE,2.89
2/13/26,Whole Milk,Dairy Milk,253,Indianapolis Cold Storage,150,2,2/20/26,10,FALSE,3.79
2/13/26,Greek Yogurt,Cultured Dairy,151,Indianapolis Cold Storage,1500,10,2/22/26,21,FALSE,1.69
2/13/26,Sour Cream,Cultured Cream,93,Indianapolis Cold Storage,1800,10,2/18/26,14,FALSE,2.49
2/13/26,Cottage Cheese,Fresh Cheese,114,Indianapolis Cold Storage,2000,9,2/19/26,12,FALSE,3.19
2/13/26,Cheddar Cheese,Aged Cheese,104,Indianapolis Cold Storage,500,4,4/2/26,60,FALSE,4.99
2/13/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,3/5/26,24,FALSE,2.89
2/14/26,Whole Milk,Dairy Milk,272,Indianapolis Cold Storage,150,2,2/21/26,10,FALSE,3.79
2/14/26,Greek Yogurt,Cultured Dairy,156,Indianapolis Cold Storage,1500,10,2/23/26,21,FALSE,1.69
2/14/26,Sour Cream,Cultured Cream,96,Indianapolis Cold Storage,1800,10,2/19/26,14,FALSE,2.49
2/14/26,Cottage Cheese,Fresh Cheese,118,Indianapolis Cold Storage,2000,9,2/20/26,12,FALSE,3.19
2/14/26,Cheddar Cheese,Aged Cheese,110,Indianapolis Cold Storage,500,4,4/3/26,60,FALSE,4.99
2/14/26,Heavy Cream,Dairy Cream,81,Indianapolis Cold Storage,90,5,3/6/26,24,FALSE,2.89
2/15/26,Whole Milk,Dairy Milk,255,Indianapolis Cold Storage,150,2,2/22/26,10,FALSE,3.79
2/15/26,Greek Yogurt,Cultured Dairy,153,Indianapolis Cold Storage,1500,10,2/24/26,21,FALSE,1.69
2/15/26,Sour Cream,Cultured Cream,94,Indianapolis Cold Storage,1800,10,2/20/26,14,FALSE,2.49
2/15/26,Cottage Cheese,Fresh Cheese,115,Indianapolis Cold Storage,2000,9,2/21/26,12,FALSE,3.19
2/15/26,Cheddar Cheese,Aged Cheese,106,Indianapolis Cold Storage,500,4,4/4/26,60,FALSE,4.99
2/15/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,3/7/26,24,FALSE,2.89
2/16/26,Whole Milk,Dairy Milk,231,Indianapolis Cold Storage,150,2,2/23/26,10,FALSE,3.79
2/16/26,Greek Yogurt,Cultured Dairy,161,Indianapolis Cold Storage,1500,10,2/25/26,21,TRUE,1.56
2/16/26,Sour Cream,Cultured Cream,84,Indianapolis Cold Storage,1800,10,2/21/26,14,FALSE,2.49
2/16/26,Cottage Cheese,Fresh Cheese,105,Indianapolis Cold Storage,2000,9,2/22/26,12,FALSE,3.19
2/16/26,Cheddar Cheese,Aged Cheese,93,Indianapolis Cold Storage,500,4,4/5/26,60,FALSE,4.99
2/16/26,Heavy Cream,Dairy Cream,72,Indianapolis Cold Storage,90,5,3/8/26,24,FALSE,2.89
2/17/26,Whole Milk,Dairy Milk,228,Indianapolis Cold Storage,150,2,2/24/26,10,FALSE,3.79
2/17/26,Greek Yogurt,Cultured Dairy,145,Indianapolis Cold Storage,1500,10,2/26/26,21,FALSE,1.69
2/17/26,Sour Cream,Cultured Cream,107,Indianapolis Cold Storage,1800,10,2/22/26,14,TRUE,2.18
2/17/26,Cottage Cheese,Fresh Cheese,109,Indianapolis Cold Storage,2000,9,2/23/26,12,FALSE,3.19
2/17/26,Cheddar Cheese,Aged Cheese,96,Indianapolis Cold Storage,500,4,4/6/26,60,FALSE,4.99
2/17/26,Heavy Cream,Dairy Cream,74,Indianapolis Cold Storage,90,5,3/9/26,24,FALSE,2.89
2/18/26,Whole Milk,Dairy Milk,270,Indianapolis Cold Storage,150,2,2/25/26,10,TRUE,3.41
2/18/26,Greek Yogurt,Cultured Dairy,152,Indianapolis Cold Storage,1500,10,2/27/26,21,FALSE,1.69
2/18/26,Sour Cream,Cultured Cream,91,Indianapolis Cold Storage,1800,10,2/23/26,14,FALSE,2.49
2/18/26,Cottage Cheese,Fresh Cheese,112,Indianapolis Cold Storage,2000,9,2/24/26,12,FALSE,3.19
2/18/26,Cheddar Cheese,Aged Cheese,100,Indianapolis Cold Storage,500,4,4/7/26,60,FALSE,4.99
2/18/26,Heavy Cream,Dairy Cream,77,Indianapolis Cold Storage,90,5,3/10/26,24,FALSE,2.89
2/19/26,Whole Milk,Dairy Milk,244,Indianapolis Cold Storage,150,2,2/26/26,10,FALSE,3.79
2/19/26,Greek Yogurt,Cultured Dairy,156,Indianapolis Cold Storage,1500,10,2/28/26,21,FALSE,1.69
2/19/26,Sour Cream,Cultured Cream,95,Indianapolis Cold Storage,1800,10,2/24/26,14,FALSE,2.49
2/19/26,Cottage Cheese,Fresh Cheese,116,Indianapolis Cold Storage,2000,9,2/25/26,12,FALSE,3.19
2/19/26,Cheddar Cheese,Aged Cheese,104,Indianapolis Cold Storage,500,4,4/8/26,60,FALSE,4.99
2/19/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,3/11/26,24,FALSE,2.89
2/20/26,Whole Milk,Dairy Milk,264,Indianapolis Cold Storage,150,2,2/27/26,10,FALSE,3.79
2/20/26,Greek Yogurt,Cultured Dairy,161,Indianapolis Cold Storage,1500,10,3/1/26,21,FALSE,1.69
2/20/26,Sour Cream,Cultured Cream,99,Indianapolis Cold Storage,1800,10,2/25/26,14,FALSE,2.49
2/20/26,Cottage Cheese,Fresh Cheese,122,Indianapolis Cold Storage,2000,9,2/26/26,12,FALSE,3.19
2/20/26,Cheddar Cheese,Aged Cheese,110,Indianapolis Cold Storage,500,4,4/9/26,60,FALSE,4.99
2/20/26,Heavy Cream,Dairy Cream,92,Indianapolis Cold Storage,90,5,3/12/26,24,TRUE,2.7
2/21/26,Whole Milk,Dairy Milk,290,Indianapolis Cold Storage,150,2,2/28/26,10,FALSE,3.79
2/21/26,Greek Yogurt,Cultured Dairy,170,Indianapolis Cold Storage,1500,10,3/2/26,21,FALSE,1.69
2/21/26,Sour Cream,Cultured Cream,104,Indianapolis Cold Storage,1800,10,2/26/26,14,FALSE,2.49
2/21/26,Cottage Cheese,Fresh Cheese,127,Indianapolis Cold Storage,2000,9,2/27/26,12,FALSE,3.19
2/21/26,Cheddar Cheese,Aged Cheese,119,Indianapolis Cold Storage,500,4,4/10/26,60,FALSE,4.99
2/21/26,Heavy Cream,Dairy Cream,87,Indianapolis Cold Storage,90,5,3/13/26,24,FALSE,2.89
2/22/26,Whole Milk,Dairy Milk,276,Indianapolis Cold Storage,150,2,3/1/26,10,FALSE,3.79
2/22/26,Greek Yogurt,Cultured Dairy,166,Indianapolis Cold Storage,1500,10,3/3/26,21,FALSE,1.69
2/22/26,Sour Cream,Cultured Cream,102,Indianapolis Cold Storage,1800,10,2/27/26,14,FALSE,2.49
2/22/26,Cottage Cheese,Fresh Cheese,124,Indianapolis Cold Storage,2000,9,2/28/26,12,FALSE,3.19
2/22/26,Cheddar Cheese,Aged Cheese,145,Indianapolis Cold Storage,500,4,4/11/26,60,TRUE,4.25
2/22/26,Heavy Cream,Dairy Cream,85,Indianapolis Cold Storage,90,5,3/14/26,24,FALSE,2.89
2/23/26,Whole Milk,Dairy Milk,250,Indianapolis Cold Storage,150,2,3/2/26,10,FALSE,3.79
2/23/26,Greek Yogurt,Cultured Dairy,151,Indianapolis Cold Storage,1500,10,3/4/26,21,FALSE,1.69
2/23/26,Sour Cream,Cultured Cream,90,Indianapolis Cold Storage,1800,10,2/28/26,14,FALSE,2.49
2/23/26,Cottage Cheese,Fresh Cheese,113,Indianapolis Cold Storage,2000,9,3/1/26,12,FALSE,3.19
2/23/26,Cheddar Cheese,Aged Cheese,100,Indianapolis Cold Storage,500,4,4/12/26,60,FALSE,4.99
2/23/26,Heavy Cream,Dairy Cream,77,Indianapolis Cold Storage,90,5,3/15/26,24,FALSE,2.89
2/24/26,Whole Milk,Dairy Milk,243,Indianapolis Cold Storage,150,2,3/3/26,10,FALSE,3.79
2/24/26,Greek Yogurt,Cultured Dairy,151,Indianapolis Cold Storage,1500,10,3/5/26,21,FALSE,1.69
2/24/26,Sour Cream,Cultured Cream,91,Indianapolis Cold Storage,1800,10,3/1/26,14,FALSE,2.49
2/24/26,Cottage Cheese,Fresh Cheese,114,Indianapolis Cold Storage,2000,9,3/2/26,12,FALSE,3.19
2/24/26,Cheddar Cheese,Aged Cheese,101,Indianapolis Cold Storage,500,4,4/13/26,60,FALSE,4.99
2/24/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,3/16/26,24,FALSE,2.89
2/25/26,Whole Milk,Dairy Milk,240,Indianapolis Cold Storage,150,2,3/4/26,10,FALSE,3.79
2/25/26,Greek Yogurt,Cultured Dairy,155,Indianapolis Cold Storage,1500,10,3/6/26,21,FALSE,1.69
2/25/26,Sour Cream,Cultured Cream,94,Indianapolis Cold Storage,1800,10,3/2/26,14,FALSE,2.49
2/25/26,Cottage Cheese,Fresh Cheese,114,Indianapolis Cold Storage,2000,9,3/3/26,12,FALSE,3.19
2/25/26,Cheddar Cheese,Aged Cheese,102,Indianapolis Cold Storage,500,4,4/14/26,60,FALSE,4.99
2/25/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,3/17/26,24,FALSE,2.89
2/26/26,Whole Milk,Dairy Milk,250,Indianapolis Cold Storage,150,2,3/5/26,10,FALSE,3.79
2/26/26,Greek Yogurt,Cultured Dairy,157,Indianapolis Cold Storage,1500,10,3/7/26,21,FALSE,1.69
2/26/26,Sour Cream,Cultured Cream,97,Indianapolis Cold Storage,1800,10,3/3/26,14,FALSE,2.49
2/26/26,Cottage Cheese,Fresh Cheese,115,Indianapolis Cold Storage,2000,9,3/4/26,12,FALSE,3.19
2/26/26,Cheddar Cheese,Aged Cheese,104,Indianapolis Cold Storage,500,4,4/15/26,60,FALSE,4.99
2/26/26,Heavy Cream,Dairy Cream,80,Indianapolis Cold Storage,90,5,3/18/26,24,FALSE,2.89
2/27/26,Whole Milk,Dairy Milk,266,Indianapolis Cold Storage,150,2,3/6/26,10,FALSE,3.79
2/27/26,Greek Yogurt,Cultured Dairy,162,Indianapolis Cold Storage,1500,10,3/8/26,21,FALSE,1.69
2/27/26,Sour Cream,Cultured Cream,101,Indianapolis Cold Storage,1800,10,3/4/26,14,FALSE,2.49
2/27/26,Cottage Cheese,Fresh Cheese,120,Indianapolis Cold Storage,2000,9,3/5/26,12,FALSE,3.19
2/27/26,Cheddar Cheese,Aged Cheese,109,Indianapolis Cold Storage,500,4,4/16/26,60,FALSE,4.99
2/27/26,Heavy Cream,Dairy Cream,83,Indianapolis Cold Storage,90,5,3/19/26,24,FALSE,2.89
2/28/26,Whole Milk,Dairy Milk,292,Indianapolis Cold Storage,150,2,3/7/26,10,FALSE,3.79
2/28/26,Greek Yogurt,Cultured Dairy,172,Indianapolis Cold Storage,1500,10,3/9/26,21,FALSE,1.69
2/28/26,Sour Cream,Cultured Cream,107,Indianapolis Cold Storage,1800,10,3/5/26,14,FALSE,2.49
2/28/26,Cottage Cheese,Fresh Cheese,125,Indianapolis Cold Storage,2000,9,3/6/26,12,FALSE,3.19
2/28/26,Cheddar Cheese,Aged Cheese,117,Indianapolis Cold Storage,500,4,4/17/26,60,FALSE,4.99
2/28/26,Heavy Cream,Dairy Cream,88,Indianapolis Cold Storage,90,5,3/20/26,24,FALSE,2.89
3/1/26,Whole Milk,Dairy Milk,279,Indianapolis Cold Storage,150,2,3/8/26,10,FALSE,3.79
3/1/26,Greek Yogurt,Cultured Dairy,168,Indianapolis Cold Storage,1500,10,3/10/26,21,FALSE,1.69
3/1/26,Sour Cream,Cultured Cream,105,Indianapolis Cold Storage,1800,10,3/6/26,14,FALSE,2.49
3/1/26,Cottage Cheese,Fresh Cheese,123,Indianapolis Cold Storage,2000,9,3/7/26,12,FALSE,3.19
3/1/26,Cheddar Cheese,Aged Cheese,113,Indianapolis Cold Storage,500,4,4/18/26,60,FALSE,4.99
3/1/26,Heavy Cream,Dairy Cream,86,Indianapolis Cold Storage,90,5,3/21/26,24,FALSE,2.89
3/2/26,Whole Milk,Dairy Milk,254,Indianapolis Cold Storage,150,2,3/9/26,10,FALSE,3.79
3/2/26,Greek Yogurt,Cultured Dairy,174,Indianapolis Cold Storage,1500,10,3/11/26,21,TRUE,1.56
3/2/26,Sour Cream,Cultured Cream,92,Indianapolis Cold Storage,1800,10,3/7/26,14,FALSE,2.49
3/2/26,Cottage Cheese,Fresh Cheese,112,Indianapolis Cold Storage,2000,9,3/8/26,12,FALSE,3.19
3/2/26,Cheddar Cheese,Aged Cheese,99,Indianapolis Cold Storage,500,4,4/19/26,60,FALSE,4.99
3/2/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,3/22/26,24,FALSE,2.89
3/3/26,Whole Milk,Dairy Milk,247,Indianapolis Cold Storage,150,2,3/10/26,10,FALSE,3.79
3/3/26,Greek Yogurt,Cultured Dairy,151,Indianapolis Cold Storage,1500,10,3/12/26,21,FALSE,1.69
3/3/26,Sour Cream,Cultured Cream,114,Indianapolis Cold Storage,1800,10,3/8/26,14,TRUE,2.18
3/3/26,Cottage Cheese,Fresh Cheese,112,Indianapolis Cold Storage,2000,9,3/9/26,12,FALSE,3.19
3/3/26,Cheddar Cheese,Aged Cheese,99,Indianapolis Cold Storage,500,4,4/20/26,60,FALSE,4.99
3/3/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,3/23/26,24,FALSE,2.89
3/4/26,Whole Milk,Dairy Milk,283,Indianapolis Cold Storage,150,2,3/11/26,10,TRUE,3.41
3/4/26,Greek Yogurt,Cultured Dairy,150,Indianapolis Cold Storage,1500,10,3/13/26,21,FALSE,1.69
3/4/26,Sour Cream,Cultured Cream,92,Indianapolis Cold Storage,1800,10,3/9/26,14,FALSE,2.49
3/4/26,Cottage Cheese,Fresh Cheese,111,Indianapolis Cold Storage,2000,9,3/10/26,12,FALSE,3.19
3/4/26,Cheddar Cheese,Aged Cheese,99,Indianapolis Cold Storage,500,4,4/21/26,60,FALSE,4.99
3/4/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,3/24/26,24,FALSE,2.89
3/5/26,Whole Milk,Dairy Milk,244,Indianapolis Cold Storage,150,2,3/12/26,10,FALSE,3.79
3/5/26,Greek Yogurt,Cultured Dairy,149,Indianapolis Cold Storage,1500,10,3/14/26,21,FALSE,1.69
3/5/26,Sour Cream,Cultured Cream,93,Indianapolis Cold Storage,1800,10,3/10/26,14,FALSE,2.49
3/5/26,Cottage Cheese,Fresh Cheese,110,Indianapolis Cold Storage,2000,9,3/11/26,12,FALSE,3.19
3/5/26,Cheddar Cheese,Aged Cheese,99,Indianapolis Cold Storage,500,4,4/22/26,60,FALSE,4.99
3/5/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,3/25/26,24,FALSE,2.89
3/6/26,Whole Milk,Dairy Milk,254,Indianapolis Cold Storage,150,2,3/13/26,10,FALSE,3.79
3/6/26,Greek Yogurt,Cultured Dairy,151,Indianapolis Cold Storage,1500,10,3/15/26,21,FALSE,1.69
3/6/26,Sour Cream,Cultured Cream,94,Indianapolis Cold Storage,1800,10,3/11/26,14,FALSE,2.49
3/6/26,Cottage Cheese,Fresh Cheese,111,Indianapolis Cold Storage,2000,9,3/12/26,12,FALSE,3.19
3/6/26,Cheddar Cheese,Aged Cheese,101,Indianapolis Cold Storage,500,4,4/23/26,60,FALSE,4.99
3/6/26,Heavy Cream,Dairy Cream,87,Indianapolis Cold Storage,90,5,3/26/26,24,TRUE,2.7
3/7/26,Whole Milk,Dairy Milk,272,Indianapolis Cold Storage,150,2,3/14/26,10,FALSE,3.79
3/7/26,Greek Yogurt,Cultured Dairy,158,Indianapolis Cold Storage,1500,10,3/16/26,21,FALSE,1.69
3/7/26,Sour Cream,Cultured Cream,99,Indianapolis Cold Storage,1800,10,3/12/26,14,FALSE,2.49
3/7/26,Cottage Cheese,Fresh Cheese,115,Indianapolis Cold Storage,2000,9,3/13/26,12,FALSE,3.19
3/7/26,Cheddar Cheese,Aged Cheese,108,Indianapolis Cold Storage,500,4,4/24/26,60,FALSE,4.99
3/7/26,Heavy Cream,Dairy Cream,81,Indianapolis Cold Storage,90,5,3/27/26,24,FALSE,2.89
3/8/26,Whole Milk,Dairy Milk,258,Indianapolis Cold Storage,150,2,3/15/26,10,FALSE,3.79
3/8/26,Greek Yogurt,Cultured Dairy,156,Indianapolis Cold Storage,1500,10,3/17/26,21,FALSE,1.69
3/8/26,Sour Cream,Cultured Cream,98,Indianapolis Cold Storage,1800,10,3/13/26,14,FALSE,2.49
3/8/26,Cottage Cheese,Fresh Cheese,114,Indianapolis Cold Storage,2000,9,3/14/26,12,FALSE,3.19
3/8/26,Cheddar Cheese,Aged Cheese,133,Indianapolis Cold Storage,500,4,4/25/26,60,TRUE,4.25
3/8/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,3/28/26,24,FALSE,2.89
3/9/26,Whole Milk,Dairy Milk,236,Indianapolis Cold Storage,150,2,3/16/26,10,FALSE,3.79
3/9/26,Greek Yogurt,Cultured Dairy,144,Indianapolis Cold Storage,1500,10,3/18/26,21,FALSE,1.69
3/9/26,Sour Cream,Cultured Cream,87,Indianapolis Cold Storage,1800,10,3/14/26,14,FALSE,2.49
3/9/26,Cottage Cheese,Fresh Cheese,105,Indianapolis Cold Storage,2000,9,3/15/26,12,FALSE,3.19
3/9/26,Cheddar Cheese,Aged Cheese,93,Indianapolis Cold Storage,500,4,4/26/26,60,FALSE,4.99
3/9/26,Heavy Cream,Dairy Cream,73,Indianapolis Cold Storage,90,5,3/29/26,24,FALSE,2.89
3/10/26,Whole Milk,Dairy Milk,233,Indianapolis Cold Storage,150,2,3/17/26,10,FALSE,3.79
3/10/26,Greek Yogurt,Cultured Dairy,146,Indianapolis Cold Storage,1500,10,3/19/26,21,FALSE,1.69
3/10/26,Sour Cream,Cultured Cream,89,Indianapolis Cold Storage,1800,10,3/15/26,14,FALSE,2.49
3/10/26,Cottage Cheese,Fresh Cheese,108,Indianapolis Cold Storage,2000,9,3/16/26,12,FALSE,3.19
3/10/26,Cheddar Cheese,Aged Cheese,96,Indianapolis Cold Storage,500,4,4/27/26,60,FALSE,4.99
3/10/26,Heavy Cream,Dairy Cream,75,Indianapolis Cold Storage,90,5,3/30/26,24,FALSE,2.89
3/11/26,Whole Milk,Dairy Milk,231,Indianapolis Cold Storage,150,2,3/18/26,10,FALSE,3.79
3/11/26,Greek Yogurt,Cultured Dairy,148,Indianapolis Cold Storage,1500,10,3/20/26,21,FALSE,1.69
3/11/26,Sour Cream,Cultured Cream,90,Indianapolis Cold Storage,1800,10,3/16/26,14,FALSE,2.49
3/11/26,Cottage Cheese,Fresh Cheese,110,Indianapolis Cold Storage,2000,9,3/17/26,12,FALSE,3.19
3/11/26,Cheddar Cheese,Aged Cheese,98,Indianapolis Cold Storage,500,4,4/28/26,60,FALSE,4.99
3/11/26,Heavy Cream,Dairy Cream,76,Indianapolis Cold Storage,90,5,3/31/26,24,FALSE,2.89
